CustomerID,Age,Gender,AnnualIncome,SpendingScore,MembershipLevel,Country,SignupDate
97,62.0,Female,74767.64,55.0,Silver,France,2016-11-25
98,58.0,Female,53405.78,52.0,Basic,,2018-11-18
99,46.0,Male,58911.36,,Platinum,Germany,2018-07-18
100,32.0,Male,75525.79,84.0,Silver,Australia,2021-10-18
101,62.0,Male,58125.02,99.0,Basic,Germany,2022-08-08
102,18.0,Female,74705.38,65.0,,UK,2018-02-16
103,42.0,Female,44561.99,52.0,Basic,UK,2022-10-04
104,24.0,Female,66494.34,31.0,Gold,UK,2019-07-02
105,26.0,Female,72589.84,78.0,Basic,Canada,2021-12-25
106,41.0,Female,47551.98,67.0,Basic,USA,2019-08-31
107,18.0,Male,57324.46,80.0,,Australia,2022-06-01
108,61.0,Male,57634.87,78.0,Basic,USA,2018-04-15
109,25.0,Male,63144.59,67.0,Platinum,USA,2021-07-06
110,41.0,Female,67122.02,6.0,Basic,USA,2021-03-11
111,28.0,Male,46331.91,9.0,Basic,UK,2018-08-16
112,68.0,Female,59099.18,97.0,Silver,USA,2015-04-08
113,34.0,Female,83869.77,12.0,Basic,UK,2022-11-26
114,25.0,Male,75808.15,66.0,Silver,Australia,2015-10-04
115,52.0,Male,71907.66,64.0,Platinum,France,2019-12-21
116,52.0,Male,57108.31,43.0,Basic,UK,2019-06-09
117,50.0,Male,91932.46,60.0,Platinum,Canada,2016-09-18
118,22.0,Female,75447.21,67.0,Basic,USA,2021-03-11
119,59.0,Male,60561.28,77.0,Silver,UK,2017-08-03
120,56.0,,63306.16,31.0,Basic,France,2022-09-11
121,58.0,Female,53117.26,73.0,Gold,,2016-05-29
122,45.0,Male,65900.58,40.0,Gold,France,2020-05-25
123,24.0,Female,68896.13,72.0,Gold,,2022-12-26
124,26.0,Female,70539.12,22.0,Silver,Canada,2016-05-02
125,25.0,Female,57289.74,90.0,Silver,UK,2019-03-11
126,29.0,Male,37894.51,80.0,Silver,UK,2020-11-25
127,51.0,Male,63626.83,96.0,Silver,Germany,2021-10-01
128,50.0,Male,70601.9,35.0,Gold,Canada,2017-05-07
129,65.0,Male,45321.7,100.0,Silver,UK,2021-05-15
130,40.0,Female,58637.51,65.0,Silver,UK,2017-09-26
131,41.0,,,71.0,Gold,UK,2018-03-29
132,54.0,Female,41947.87,,Platinum,Germany,2018-07-12
133,52.0,Male,55743.98,40.0,Platinum,USA,2015-01-26
134,61.0,Male,82307.09,75.0,Basic,Germany,2017-09-29
135,57.0,Female,62365.73,11.0,Basic,Australia,2022-12-12
136,39.0,Male,,,Platinum,Germany,2020-09-06
137,44.0,Male,59894.53,41.0,Basic,France,2019-12-06
138,52.0,,72388.76,4.0,Basic,UK,2017-01-25
139,18.0,Male,56947.42,89.0,Silver,Australia,2021-04-27
140,52.0,Female,68963.73,,Silver,USA,2017-11-05
141,54.0,Male,63524.85,74.0,Silver,France,2020-05-06
142,64.0,Female,64756.18,69.0,Basic,UK,2021-07-25
143,31.0,,69923.12,76.0,Basic,Australia,2020-08-25
144,20.0,Male,55577.58,34.0,Gold,UK,2020-02-09
145,18.0,Female,45832.34,76.0,Basic,Germany,2017-01-01
146,22.0,Female,67115.93,53.0,,Canada,2019-09-15
147,43.0,Female,58013.94,38.0,Silver,France,2022-12-13
148,31.0,Male,53278.33,79.0,Basic,Australia,2019-08-25
149,56.0,Female,67895.78,85.0,Platinum,Germany,2016-03-06
150,44.0,Male,79160.21,4.0,Basic,Australia,2021-12-17
151,26.0,Female,57681.32,75.0,Basic,France,2017-12-30
152,32.0,Female,60126.74,74.0,Platinum,UK,2018-05-20
153,32.0,Female,42273.49,71.0,Gold,Germany,2017-08-29
154,43.0,Female,56659.58,,,USA,2015-03-09
155,59.0,Male,63319.36,18.0,Basic,Australia,2017-02-08
156,30.0,Male,59693.34,47.0,Basic,Australia,2016-09-23
157,68.0,Female,54567.66,27.0,Basic,UK,2015-09-26
158,49.0,Female,70887.63,28.0,Gold,Australia,2022-09-28
159,56.0,Male,60870.12,57.0,Gold,France,2018-10-13
160,66.0,Female,98832.05,96.0,Basic,USA,2022-07-11
161,69.0,Female,63115.79,74.0,Basic,France,2015-11-24
162,49.0,Female,18802.46,98.0,Silver,UK,2017-02-04
163,21.0,Male,43319.53,5.0,Platinum,USA,2020-11-30
164,47.0,Male,67981.79,20.0,Silver,Australia,2016-01-14
165,54.0,Other,50350.35,55.0,Gold,UK,2017-07-24
166,40.0,Female,,94.0,Gold,UK,2022-03-10
167,56.0,Female,41411.55,33.0,,Germany,2018-09-26
168,62.0,Male,52849.01,64.0,Platinum,,2021-09-03
169,32.0,Female,62908.92,,Platinum,Canada,2018-07-09
170,60.0,Female,65787.54,2.0,Silver,,2022-05-26
171,46.0,Male,44701.57,82.0,Basic,UK,2022-09-09
172,,Female,72081.09,78.0,Gold,Canada,2020-07-10
173,30.0,Female,,69.0,Gold,USA,2022-01-24
174,49.0,Female,66569.34,61.0,Gold,UK,2017-09-11
175,24.0,Female,65055.7,58.0,Basic,Germany,2019-02-17
176,68.0,Female,45984.63,18.0,Silver,USA,2019-01-19
177,39.0,Female,44200.27,45.0,Basic,UK,2021-05-08
178,45.0,Female,65734.36,79.0,Basic,Australia,2015-09-24
179,19.0,Female,51601.76,23.0,Basic,USA,2017-04-05
180,,,57142.51,50.0,Gold,Germany,2021-04-27
181,62.0,Female,70310.04,,Basic,USA,2019-06-08
182,23.0,Female,67187.06,98.0,,Australia,2021-11-23
183,45.0,Male,46260.83,24.0,Gold,,2019-08-21
184,45.0,Female,59196.31,12.0,Platinum,France,2019-09-17
185,61.0,Male,45979.27,29.0,Gold,Germany,2020-05-02
186,61.0,Female,73049.08,6.0,Basic,USA,2022-11-09
187,37.0,Male,83047.75,24.0,Silver,USA,2017-12-24
188,47.0,Male,47323.57,86.0,Gold,Canada,2017-11-15
189,28.0,Female,59532.49,17.0,Gold,USA,2015-01-19
190,45.0,Female,73761.92,57.0,Basic,Australia,2021-10-06
191,42.0,Female,60363.17,32.0,Silver,,2021-08-17
192,56.0,Female,68422.58,89.0,Silver,Australia,2021-02-16
193,50.0,Female,60774.09,53.0,Silver,Australia,2017-12-27
194,18.0,Female,44147.94,26.0,Basic,Canada,2016-07-11
195,44.0,Female,,91.0,,UK,2018-08-11
196,69.0,Other,76909.25,71.0,Silver,France,2020-10-05
197,30.0,Male,64714.38,35.0,Basic,Canada,2020-05-07
198,58.0,Female,84355.11,98.0,Basic,Canada,2022-06-13
199,20.0,Male,,27.0,Basic,Canada,2016-05-14
200,56.0,,65685.71,8.0,Basic,UK,2017-06-29
201,23.0,Male,50279.88,35.0,Gold,France,2020-10-24
202,25.0,Female,46865.53,18.0,,France,2021-07-04
203,44.0,Female,80016.28,,Gold,USA,2019-10-14
204,26.0,Other,56174.93,94.0,Silver,Canada,2020-05-27
205,54.0,Other,54726.82,16.0,Basic,UK,2020-02-26
206,50.0,Other,65153.64,31.0,Gold,Australia,2020-05-07
207,68.0,Male,27712.22,61.0,Gold,UK,2020-07-15
208,59.0,Other,80322.99,34.0,Basic,UK,2017-07-10
209,61.0,Male,88566.45,,Gold,Canada,2021-09-01
210,41.0,,73726.7,73.0,Silver,Germany,2015-09-27
211,32.0,Male,66179.85,100.0,Basic,Germany,2017-01-16
212,49.0,Female,56751.37,68.0,Silver,Australia,2018-02-04
213,49.0,Other,43871.82,45.0,Basic,Canada,2019-11-10
214,41.0,Female,77910.96,58.0,,,2018-09-13
215,58.0,Female,73745.12,20.0,Basic,USA,2017-05-22
216,69.0,Female,66751.74,81.0,Basic,Australia,2018-08-30
217,66.0,Male,65004.43,,Basic,USA,2022-01-22
218,66.0,Female,64508.89,10.0,Basic,Australia,2016-09-10
219,69.0,Female,52110.95,46.0,,USA,2016-04-28
220,29.0,Male,97517.53,77.0,Gold,UK,2019-04-27
221,56.0,Male,55715.65,,Gold,UK,2015-01-26
222,19.0,Male,53599.44,38.0,Gold,France,2019-02-03
223,20.0,Female,76809.09,16.0,Gold,UK,2015-03-24
224,66.0,Male,59561.91,39.0,Basic,UK,2018-09-27
225,54.0,Male,59715.08,97.0,Silver,UK,2019-11-29
226,66.0,Male,81218.54,27.0,Gold,USA,2022-05-28
227,,Female,70179.23,80.0,Silver,Germany,2022-11-23
228,66.0,Female,70941.28,79.0,Gold,USA,2021-07-29
229,19.0,Female,38734.34,80.0,Silver,France,2018-12-09
230,19.0,Female,66008.1,6.0,Basic,Canada,2022-09-18
231,45.0,Male,44915.88,29.0,Gold,Canada,2020-01-19
232,40.0,Male,53175.09,40.0,Basic,France,2015-10-31
233,54.0,Female,62634.62,17.0,Silver,UK,2020-06-11
234,49.0,Male,59456.85,40.0,Basic,USA,2021-10-30
235,50.0,Male,69813.27,71.0,Silver,Australia,2019-02-23
236,18.0,Female,71560.49,98.0,Silver,Germany,2017-10-14
237,36.0,Male,72684.51,55.0,Basic,France,2015-07-30
238,19.0,,39836.99,100.0,Silver,Australia,2019-10-11
239,61.0,Male,95439.87,26.0,Silver,USA,2016-08-10
240,43.0,Female,59631.32,26.0,Silver,USA,2016-01-16
241,49.0,Male,,,Silver,,2020-12-13
242,23.0,Male,22285.31,25.0,Gold,USA,2015-10-20
243,49.0,Male,56020.07,100.0,Gold,USA,2021-07-27
244,21.0,Female,38089.77,42.0,Silver,USA,2022-02-08
245,28.0,Other,47079.52,48.0,Silver,Australia,2021-04-14
246,34.0,Male,60758.34,2.0,Gold,Canada,2019-05-01
247,55.0,Female,54978.76,92.0,Silver,UK,2016-08-25
248,41.0,Female,79710.26,1.0,Gold,France,2021-03-25
249,22.0,Other,86534.88,6.0,Basic,UK,2017-08-23
250,69.0,Female,45497.49,40.0,Silver,UK,2015-02-08
251,51.0,Male,52683.52,,,UK,2015-11-28
252,23.0,Female,44533.68,1.0,Basic,Australia,2019-05-31
253,39.0,Female,77338.5,15.0,Gold,France,2021-06-10
254,,Male,62385.65,65.0,Silver,,2018-09-24
255,65.0,Male,60484.97,83.0,Silver,USA,2022-10-30
256,33.0,Female,64687.0,25.0,,UK,2015-12-13
257,50.0,Female,55332.44,78.0,Silver,Germany,2019-08-17
258,26.0,Female,47152.95,86.0,Silver,Australia,2021-05-19
259,23.0,Other,60765.82,87.0,Gold,Germany,2016-03-30
260,33.0,Female,55994.87,62.0,Platinum,USA,2021-02-27
261,,Male,65205.36,71.0,Silver,Germany,2017-03-07
262,20.0,Male,35520.32,34.0,Basic,Germany,2018-08-01
263,37.0,Male,62795.38,11.0,Silver,Canada,2019-05-15
264,53.0,Male,49661.31,80.0,Gold,UK,2019-07-22
265,36.0,Male,62269.57,38.0,Silver,USA,2017-12-07
266,43.0,Female,,9.0,Basic,Australia,2018-05-16
267,20.0,Female,51656.28,4.0,Silver,Canada,2022-09-28
268,,Female,77950.81,45.0,Gold,USA,2020-11-13
269,37.0,Female,33888.56,56.0,Basic,Canada,2016-12-02
270,49.0,Female,83157.43,35.0,Basic,Australia,2017-01-30
271,24.0,Female,78577.41,23.0,Platinum,USA,2017-04-09
272,69.0,Female,46701.16,24.0,Gold,USA,2021-03-14
273,58.0,Male,46826.62,4.0,Silver,Germany,2022-11-13
274,50.0,Male,37575.66,94.0,Basic,,2021-06-10
275,57.0,Female,73820.68,40.0,Platinum,Germany,2021-07-03
276,56.0,Male,55043.84,96.0,Gold,,2022-12-07
277,35.0,Female,53943.45,52.0,Silver,UK,2017-08-30
278,57.0,Male,43157.78,98.0,Gold,UK,2020-01-15
279,18.0,Female,87179.61,60.0,Silver,Canada,2016-12-11
280,28.0,Other,45408.59,34.0,Silver,Germany,2017-04-21
281,45.0,Male,60362.49,,,UK,2018-03-21
282,42.0,Female,63239.55,31.0,Silver,Germany,2015-03-25
283,67.0,Male,54019.93,32.0,Silver,France,2022-04-19
284,40.0,Male,50986.64,36.0,Gold,Canada,2018-06-10
285,48.0,Male,54461.08,86.0,Basic,,2021-07-25
286,47.0,Female,68480.0,19.0,Silver,USA,2022-02-27
287,,Male,54794.14,45.0,Basic,UK,2019-12-12
288,52.0,Female,84383.19,35.0,Basic,USA,2017-09-17
289,24.0,Male,48344.42,,Basic,UK,2022-10-04
290,,Male,71311.6,42.0,Basic,Canada,2017-05-27
291,43.0,Female,33654.02,60.0,Silver,Canada,2015-11-11
292,65.0,Male,48346.12,15.0,Basic,Germany,2015-11-01
293,69.0,Male,47755.62,56.0,Silver,Canada,2015-12-25
294,,Male,43441.3,60.0,Gold,Canada,2018-10-29
295,19.0,Female,64252.09,8.0,Silver,Canada,2015-05-23
296,18.0,Female,58347.19,96.0,Gold,Australia,2016-07-26
297,,Male,25817.58,100.0,Silver,Australia,2015-01-26
298,29.0,Male,89933.03,94.0,Gold,Australia,2021-12-28
299,22.0,Male,62640.24,23.0,Gold,USA,2021-02-19
300,54.0,Male,60017.66,71.0,Basic,USA,2021-09-11
301,49.0,Female,79651.78,22.0,Gold,Canada,2021-09-05
302,26.0,Female,74832.91,36.0,Platinum,UK,2015-06-05
303,58.0,Female,55527.4,39.0,Gold,Canada,2015-12-15
304,52.0,Male,30712.3,92.0,Platinum,UK,2015-08-15
305,36.0,Female,68465.78,76.0,Basic,Australia,2022-05-30
306,,Female,,67.0,Basic,Germany,2017-05-01
307,33.0,Female,78588.97,38.0,Platinum,France,2020-04-01
308,20.0,Female,48357.55,44.0,,USA,2020-06-26
309,37.0,,53222.0,36.0,Silver,USA,2022-07-24
310,41.0,Female,39852.28,21.0,Basic,Germany,2022-03-29
311,50.0,Male,41065.57,22.0,Silver,Australia,2018-05-07
312,41.0,Female,58363.87,23.0,Basic,Australia,2020-11-12
313,69.0,Male,56966.11,7.0,Basic,Germany,2020-03-15
314,28.0,,52861.76,7.0,,UK,2017-05-07
315,,Female,90795.17,21.0,Basic,USA,2022-01-26
316,25.0,Female,69054.7,44.0,Silver,France,2015-07-13
317,53.0,Male,60153.65,78.0,Gold,Canada,2018-04-28
318,55.0,Male,18640.11,42.0,Silver,Australia,2016-04-06
319,57.0,Male,72386.52,7.0,Silver,Canada,2020-10-04
320,37.0,Female,104918.04,69.0,Silver,France,2022-02-25
321,52.0,Female,57180.75,19.0,Basic,,2016-01-01
322,65.0,Female,47842.31,89.0,Silver,USA,2019-06-24
323,42.0,Male,62449.87,,Silver,France,2021-05-07
324,52.0,Female,38528.87,9.0,Basic,UK,2019-06-22
325,42.0,,66930.91,1.0,Silver,Germany,2022-05-01
326,46.0,Male,82503.28,52.0,Silver,UK,2022-03-19
327,35.0,Female,49936.03,43.0,Basic,USA,2017-06-15
328,63.0,Female,50420.39,93.0,Basic,Germany,2016-06-24
329,35.0,Female,58804.56,83.0,Basic,Germany,2017-02-05
330,19.0,Other,52481.71,15.0,Gold,USA,2017-12-02
331,52.0,Male,,100.0,Platinum,Australia,2016-02-20
332,33.0,Female,54221.43,82.0,Gold,Canada,2022-11-12
333,58.0,Female,51194.86,63.0,Silver,,2021-08-30
334,53.0,Female,80498.32,22.0,Platinum,Australia,2018-12-20
335,50.0,Female,77330.62,22.0,Silver,UK,2015-10-18
336,21.0,Other,80959.69,94.0,Basic,France,2016-11-16
337,50.0,Female,72025.88,71.0,Basic,France,2019-08-30
338,31.0,Female,63086.74,61.0,Basic,USA,2015-06-22
339,38.0,Male,46883.88,62.0,Silver,,2017-07-23
340,65.0,Male,79891.73,6.0,Basic,UK,2019-04-22
341,,Male,65216.84,13.0,Silver,France,2020-07-15
342,25.0,Female,41279.54,56.0,Platinum,USA,2015-08-04
343,24.0,Other,46291.98,78.0,Platinum,USA,2022-09-07
344,20.0,Male,41043.82,66.0,Silver,Canada,2019-12-06
345,,Male,29219.57,80.0,Basic,Canada,2018-10-31
346,50.0,Female,65827.83,39.0,Silver,,2020-07-21
347,65.0,Female,41431.87,33.0,Gold,Canada,2016-07-15
348,29.0,Female,,1.0,Basic,Australia,2016-07-14
349,68.0,Male,60582.59,94.0,Basic,,2016-06-05
350,39.0,Male,57181.61,75.0,Gold,Canada,2019-02-16
351,39.0,Female,49298.37,14.0,Silver,Canada,2021-03-17
352,63.0,Male,82783.94,37.0,Gold,Canada,2015-09-21
353,47.0,Male,37100.18,37.0,Silver,Germany,2017-10-02
354,55.0,Male,37749.51,99.0,Basic,UK,2019-07-08
355,55.0,Male,66867.66,14.0,Gold,Canada,2016-10-04
356,62.0,Male,,22.0,Basic,Germany,2016-11-12
357,68.0,,50021.28,31.0,Basic,Canada,2021-04-01
358,25.0,Male,43814.46,,Silver,USA,2020-01-04
359,44.0,Male,65073.02,74.0,Silver,Australia,2015-08-14
360,44.0,Female,63384.48,24.0,Basic,Canada,2016-01-13
361,51.0,Female,61786.85,24.0,Silver,Australia,2019-05-06
362,38.0,Female,51255.65,32.0,Gold,Australia,2021-03-11
363,47.0,Female,48734.56,54.0,Silver,France,2016-08-07
364,50.0,Female,57553.59,34.0,Gold,Canada,2015-01-17
365,45.0,Female,74498.1,74.0,Silver,Germany,2020-12-10
366,64.0,Female,83522.39,46.0,Silver,UK,2018-12-17
367,50.0,,76670.33,,,Canada,2022-06-10
368,22.0,Female,67586.06,87.0,Basic,Australia,2015-06-18
369,65.0,Male,74732.64,32.0,Basic,UK,2021-03-17
370,36.0,Female,42270.96,60.0,Silver,Australia,2022-12-27
371,21.0,Female,49293.45,47.0,Gold,France,2019-12-20
372,52.0,Female,67865.98,76.0,Silver,USA,2016-09-19
373,66.0,Male,58227.59,41.0,Basic,USA,2019-08-04
374,34.0,Male,65062.6,88.0,Gold,Germany,2018-02-10
375,61.0,Female,74691.98,34.0,Silver,France,2021-03-12
376,45.0,Male,72360.42,47.0,Basic,Canada,2016-01-06
377,47.0,Female,43635.55,20.0,Silver,Australia,2021-07-12
378,46.0,Female,60177.66,,Basic,UK,2018-02-04
379,63.0,Female,46187.66,16.0,Gold,France,2015-09-06
380,23.0,Female,48340.23,50.0,Gold,USA,2018-07-13
381,52.0,Female,34336.96,9.0,Basic,Germany,2020-12-06
382,58.0,Female,62004.01,50.0,Gold,Germany,2018-09-07
383,54.0,Female,33228.38,52.0,Basic,Australia,2018-06-25
384,41.0,Female,65912.0,3.0,Silver,Germany,2021-11-04
385,46.0,Other,80376.71,74.0,Basic,USA,2017-05-24
386,66.0,Female,67955.04,40.0,Gold,UK,2019-09-03
387,63.0,Other,60778.33,1.0,Basic,Australia,2017-04-18
388,48.0,Male,83016.72,55.0,Basic,UK,2017-09-11
389,52.0,Male,64911.69,,Silver,France,2016-01-06
390,50.0,Male,47058.85,95.0,Gold,UK,2016-01-03
391,69.0,Male,61876.6,13.0,Silver,USA,2020-09-22
392,38.0,Female,89395.37,56.0,Platinum,France,2017-02-04
393,49.0,Male,43610.42,22.0,Silver,UK,2020-06-02
394,40.0,,39298.14,16.0,Basic,USA,2015-11-08
395,50.0,Male,69223.63,22.0,Silver,UK,2020-03-16
396,20.0,Male,56639.2,6.0,Basic,Germany,2016-10-17
397,35.0,Male,52019.97,1.0,Basic,Canada,2021-07-28
398,42.0,Female,41112.31,2.0,Silver,Canada,2016-06-25
399,59.0,Male,30748.32,91.0,Platinum,UK,2018-02-01
400,48.0,Male,38153.55,76.0,Basic,Australia,2018-09-30
401,20.0,Female,84223.88,70.0,Gold,,2019-12-25
402,57.0,Male,59866.89,66.0,,France,2020-03-04
403,63.0,Male,30564.53,37.0,Basic,Germany,2021-06-09
404,41.0,Female,77761.29,74.0,Basic,Germany,2015-11-01
405,67.0,,78522.51,17.0,Silver,Australia,2022-08-21
406,49.0,Male,78438.51,,Basic,Canada,2018-11-16
407,64.0,,53662.03,6.0,Gold,Canada,2020-05-08
408,39.0,Male,55967.84,1.0,Basic,Australia,2021-04-01
409,,Female,62064.42,84.0,Basic,,2019-01-21
410,19.0,Male,81015.7,18.0,Gold,France,2017-11-21
411,44.0,Female,,,Basic,Germany,2019-08-05
412,59.0,Female,48683.8,32.0,Platinum,USA,2015-03-10
413,19.0,Male,,17.0,Basic,Germany,2018-03-27
414,43.0,Other,78138.82,19.0,Gold,USA,2020-05-02
415,34.0,Male,59208.14,49.0,Silver,USA,2016-05-17
416,57.0,Male,70056.6,13.0,Gold,Canada,2019-05-08
417,50.0,Male,61686.7,1.0,Basic,Australia,2022-12-18
418,26.0,Male,56231.33,38.0,,Germany,2015-04-18
419,60.0,Female,47560.83,38.0,Basic,France,2020-10-26
420,65.0,Male,42692.1,36.0,,USA,2022-10-19
421,56.0,Female,50778.51,74.0,Basic,USA,2020-12-12
422,46.0,,45359.11,,Gold,USA,2016-01-02
423,59.0,Male,64252.24,26.0,,UK,2021-10-24
424,43.0,Female,78263.19,48.0,Basic,Australia,2017-10-18
425,52.0,Female,63060.14,97.0,Basic,USA,2015-04-15
426,67.0,Male,46189.45,40.0,Gold,USA,2017-03-18
427,42.0,Male,72830.66,72.0,Gold,France,2022-06-08
428,41.0,Male,,55.0,Silver,USA,2016-03-24
429,30.0,Female,67422.39,,Gold,Australia,2017-11-03
430,24.0,Female,52209.48,2.0,Silver,USA,2021-06-17
431,53.0,Male,77000.65,39.0,Platinum,Germany,2015-11-12
432,62.0,Female,76923.99,92.0,Silver,USA,2015-10-22
433,37.0,Female,57238.99,93.0,Gold,USA,2016-01-24
434,18.0,Female,,89.0,Gold,Australia,2020-10-20
435,25.0,Male,76522.34,90.0,Basic,France,2017-12-13
436,63.0,Male,53019.42,72.0,Basic,Germany,2021-02-24
437,33.0,Male,58781.42,94.0,Silver,USA,2015-04-11
438,31.0,Female,61196.87,61.0,Basic,,2020-11-29
439,29.0,Female,,58.0,Basic,Canada,2019-09-07
440,68.0,Female,66624.94,57.0,Silver,USA,2017-08-10
441,40.0,Male,75337.84,65.0,Basic,UK,2017-04-06
